,RURALPiped,URBANPiped,PBO
0,continent interpolated,continent interpolated,continent interpolated
1,,,
2,,,
3,,,continent interpolated
4,,,
5,,,continent interpolated
6,,,
7,continent interpolated,,
8,,,
9,,,continent interpolated
10,,,continent interpolated
11,continent interpolated,continent interpolated,
12,continent interpolated,continent interpolated,
13,,,
14,,,
15,,,
16,,,
17,,,continent interpolated
18,,,
19,,,
20,,,
21,,,continent interpolated
22,continent interpolated,continent interpolated,continent interpolated
23,continent interpolated,continent interpolated,
24,,,continent interpolated
25,,,
26,,,
27,,,continent interpolated
28,,,
29,,,
30,continent interpolated,continent interpolated,continent interpolated
31,,,continent interpolated
32,,,
33,,,
34,,,
35,,,
36,,,
37,,,
38,,,
39,,,
40,,,
41,,,
42,,,
43,,,
44,continent interpolated,continent interpolated,continent interpolated
45,,,
46,,,
47,,,continent interpolated
48,,,
49,,,continent interpolated
50,continent interpolated,,continent interpolated
51,,,continent interpolated
52,,,
53,,,
54,,,
55,continent interpolated,continent interpolated,continent interpolated
56,,,
57,,,
58,,,continent interpolated
59,,,
60,,,
61,,,
62,,,
63,,,
64,,,
65,,,
66,,,continent interpolated
67,continent interpolated,,continent interpolated
68,,,
69,,,continent interpolated
70,continent interpolated,continent interpolated,continent interpolated
71,,,
72,,,
73,,,
74,,,
75,,,continent interpolated
76,,,
77,,,continent interpolated
78,,,
79,,,
80,,,continent interpolated
81,,,
82,continent interpolated,continent interpolated,continent interpolated
83,,,continent interpolated
84,,,
85,continent interpolated,continent interpolated,continent interpolated
86,continent interpolated,continent interpolated,continent interpolated
87,,,
88,,,continent interpolated
89,,,
90,continent interpolated,continent interpolated,
91,,,
92,,,
93,,,
94,,,continent interpolated
95,,,
96,,,
97,,,continent interpolated
98,,,
99,,,continent interpolated
100,,,
101,continent interpolated,continent interpolated,
102,,,continent interpolated
103,,,
104,continent interpolated,continent interpolated,
105,continent interpolated,continent interpolated,
106,,,
107,,,
108,,,
109,,,continent interpolated
110,continent interpolated,continent interpolated,continent interpolated
111,,,
112,continent interpolated,continent interpolated,continent interpolated
113,,,
114,continent interpolated,continent interpolated,
115,,,
116,continent interpolated,continent interpolated,continent interpolated
117,,,continent interpolated
118,,,continent interpolated
119,,,
120,,,
121,,,
122,,,
123,,,
124,,,continent interpolated
125,,,continent interpolated
126,,,
127,,,continent interpolated
128,,,
129,,,
130,,,
131,,,
132,,,continent interpolated
133,,,
134,,,
135,,,
136,,,
137,,,
138,,,
139,continent interpolated,continent interpolated,continent interpolated
140,,,
141,,,
142,continent interpolated,continent interpolated,continent interpolated
143,,,continent interpolated
144,,,
145,,,
146,,,
147,continent interpolated,continent interpolated,continent interpolated
148,,,
149,,,continent interpolated
150,continent interpolated,continent interpolated,
151,,,
152,,,
153,,,
154,continent interpolated,continent interpolated,continent interpolated
155,continent interpolated,continent interpolated,
156,continent interpolated,,
157,,,
158,,,
159,,,
160,continent interpolated,,continent interpolated
161,,,
162,,,continent interpolated
163,,,
164,,,
165,,,
166,,,
167,,,continent interpolated
168,,,continent interpolated
169,,,
170,,,continent interpolated
171,,,continent interpolated
172,,,
173,,,
174,,,continent interpolated
175,,,continent interpolated
176,,,continent interpolated
177,,,continent interpolated
178,continent interpolated,continent interpolated,
179,,,
180,,,
181,,,continent interpolated
182,,,
183,,,
184,,,continent interpolated
185,continent interpolated,continent interpolated,continent interpolated
186,,continent interpolated,continent interpolated
187,,,
188,,,continent interpolated
189,,,continent interpolated
190,,,
191,continent interpolated,continent interpolated,continent interpolated
192,,,continent interpolated
193,,,
194,,,
195,,,
196,,continent interpolated,
197,continent interpolated,continent interpolated,
198,,,
199,,,
200,continent interpolated,continent interpolated,continent interpolated
201,,,continent interpolated
202,,,continent interpolated
203,,,
204,,,
205,,,
206,,,
207,,continent interpolated,continent interpolated
208,,,
209,,,
210,,,continent interpolated
211,continent interpolated,continent interpolated,
212,,,
213,,,
214,,,continent interpolated
215,,,
216,,,
217,,,
218,,,
219,continent interpolated,,
220,,,
221,,,continent interpolated
222,continent interpolated,continent interpolated,
223,continent interpolated,continent interpolated,continent interpolated
224,continent interpolated,continent interpolated,continent interpolated
225,,,
226,,,
227,,continent interpolated,continent interpolated
228,,,continent interpolated
229,,,
230,,,
231,,,
232,,,
233,,,
